City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Eldorado,BR,81.97,overcast clouds,-23.7869,-54.2836,Villa Verde Hotel
8,Itacoatiara,BR,82.22,broken clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
9,Buin,CL,78.8,clear sky,-33.7333,-70.75,Paihuen
16,Hambantota,LK,78.67,overcast clouds,6.1241,81.1185,Bungalow 63
17,Atuona,PF,80.91,broken clouds,-9.8,-139.0333,Villa Enata
18,Kavieng,PG,80.65,moderate rain,-2.5744,150.7967,Nusa Island Retreat
20,Mount Isa,AU,75.2,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
21,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
24,Ambon,ID,75.2,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
27,Rikitea,PF,79.41,few clouds,-23.1203,-134.9692,Pension Maro'i
30,San Patricio,US,84.2,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
33,Vaini,TO,78.8,light rain,-21.2,-175.2,Keleti Beach Resort
38,Harper,LR,78.64,broken clouds,4.375,-7.7169,Screensaver
40,Avarua,CK,84.2,few clouds,-21.2078,-159.775,Paradise Inn
43,Antalaha,MG,75.58,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
44,Puerto Ayora,EC,84.2,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
45,Mogadishu,SO,79.79,few clouds,2.0371,45.3438,Olympic Hotel
47,Mettur,IN,76.01,clear sky,11.8,77.8,Hotel Akash Residency
50,Kapaa,US,77.0,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
52,Sucua,EC,78.8,light rain,-2.4667,-78.1667,Hotel Orellana
53,Luxor,EG,84.2,dust,25.6989,32.6421,Iberotel Luxor
54,Abiramam,IN,79.88,few clouds,9.4667,78.45,KVL GUEST HOUSE
58,Mahebourg,MU,78.8,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
60,Conde,BR,80.6,few clouds,-7.2597,-34.9075,Pousada Beija Flor
68,Tambopata,PE,77.72,overcast clouds,-12.7333,-69.1833,
69,Hohoe,GH,77.65,overcast clouds,7.1518,0.4736,Agumatsa Falls Lodge
70,The Valley,AI,82.4,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
82,Bilma,NE,80.65,clear sky,18.6853,12.9164,Expeditions Ténére voyages
83,Umm Lajj,SA,86.23,clear sky,25.0213,37.2685,Moon light Furnished Units
