City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kropotkin,RU,45.4375,40.5756,35.01,88,100,10.38,snow
1,Albany,US,42.6001,-73.9662,66.99,18,74,3.0,broken clouds
2,New Norfolk,AU,-42.7826,147.0587,64.0,79,100,1.01,overcast clouds
3,Vezirkopru,TR,41.1436,35.4547,37.4,75,75,12.66,light rain
4,Tasiilaq,GL,65.6145,-37.6368,12.2,67,0,2.3,clear sky
5,Eldorado,BR,-23.7869,-54.2836,81.97,73,93,3.83,overcast clouds
6,Saskylakh,RU,71.9167,114.0833,-40.02,100,70,5.68,broken clouds
7,Ketchikan,US,55.3422,-131.6461,42.8,100,90,12.66,moderate rain
8,Itacoatiara,BR,-3.1431,-58.4442,82.22,81,54,2.48,broken clouds
9,Buin,CL,-33.7333,-70.75,78.8,36,0,9.22,clear sky
10,Hobart,AU,-42.8794,147.3294,64.0,88,75,8.05,light rain
11,Busselton,AU,-33.65,115.3333,48.99,96,1,7.45,clear sky
12,Dharchula,IN,29.85,80.5333,57.72,54,98,7.18,overcast clouds
13,Okhotsk,RU,59.3833,143.3,-8.12,98,93,3.74,overcast clouds
14,Upernavik,GL,72.7868,-56.1549,-15.09,95,99,5.17,overcast clouds
15,Cape Town,ZA,-33.9258,18.4232,72.0,68,0,9.22,clear sky
16,Hambantota,LK,6.1241,81.1185,78.67,79,94,10.96,overcast clouds
17,Atuona,PF,-9.8,-139.0333,80.91,69,52,19.24,broken clouds
18,Kavieng,PG,-2.5744,150.7967,80.65,81,100,13.49,moderate rain
19,Ilulissat,GL,69.2167,-51.1,-5.8,77,90,12.66,snow
20,Mount Isa,AU,-20.7333,139.5,75.2,83,90,4.61,overcast clouds
21,Souillac,MU,-20.5167,57.5167,78.8,94,40,7.07,scattered clouds
22,Hokitika,NZ,-42.7167,170.9667,61.27,70,100,3.56,overcast clouds
23,Vestmannaeyjar,IS,63.4427,-20.2734,38.3,59,86,17.05,light rain
24,Ambon,ID,-3.6954,128.1814,75.2,94,20,6.91,few clouds
25,Lagoa,PT,39.05,-27.9833,54.81,58,16,9.13,few clouds
26,Yellowknife,CA,62.456,-114.3525,1.4,55,40,12.66,scattered clouds
27,Rikitea,PF,-23.1203,-134.9692,79.41,75,14,10.96,few clouds
28,Kaitangata,NZ,-46.2817,169.8464,59.0,90,100,1.79,overcast clouds
29,Norman Wells,CA,65.282,-126.8329,6.8,66,20,27.63,snow
30,San Patricio,US,28.017,-97.5169,84.2,48,75,10.36,broken clouds
31,Russell,US,32.3502,-85.1999,73.4,46,75,8.05,broken clouds
32,Carnarvon,AU,-24.8667,113.6333,69.8,83,4,12.66,clear sky
33,Vaini,TO,-21.2,-175.2,78.8,89,75,5.75,light rain
34,Paamiut,GL,61.994,-49.6678,16.5,71,100,12.21,overcast clouds
35,Nome,US,64.5011,-165.4064,6.8,78,90,18.41,snow
36,Yulara,AU,-25.2406,130.9889,66.2,100,0,5.75,clear sky
37,Victoria,HK,22.2855,114.1577,66.0,76,98,5.12,overcast clouds
38,Harper,LR,4.375,-7.7169,78.64,88,78,7.76,broken clouds
39,Dikson,RU,73.5069,80.5464,-20.51,99,58,5.86,broken clouds
40,Avarua,CK,-21.2078,-159.775,84.2,79,20,9.22,few clouds
41,Pevek,RU,69.7008,170.3133,2.25,82,100,2.37,overcast clouds
42,Ushumun,RU,52.7833,126.5333,1.85,94,75,3.78,broken clouds
43,Antalaha,MG,-14.9003,50.2788,75.58,89,86,3.89,overcast clouds
44,Puerto Ayora,EC,-0.7393,-90.3518,84.2,70,20,6.91,light rain
45,Mogadishu,SO,2.0371,45.3438,79.79,77,23,17.27,few clouds
46,Talnakh,RU,69.4865,88.3972,0.59,96,96,10.85,overcast clouds
47,Mettur,IN,11.8,77.8,76.01,64,1,1.81,clear sky
