City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2021-03-21 16:36:50,-23.1203,-134.9692,79.57,74,45,8.25
1,Tucurui,BR,2021-03-21 16:36:50,-3.7661,-49.6725,85.17,76,53,2.84
2,Pangkalanbuun,ID,2021-03-21 16:36:51,-2.6833,111.6167,75.36,95,99,2.64
3,Houston,US,2021-03-21 16:34:30,29.7633,-95.3633,64.0,63,75,6.91
4,Rio Grande,BR,2021-03-21 16:36:51,-32.035,-52.0986,73.4,94,90,9.22
5,Khatanga,RU,2021-03-21 16:36:51,71.9667,102.5,-24.95,77,0,5.93
6,Letlhakane,BW,2021-03-21 16:36:52,-21.4167,25.5833,82.26,34,86,7.61
7,Olga,RU,2021-03-21 16:36:52,43.7444,135.2892,31.1,97,100,4.61
8,Cape Town,ZA,2021-03-21 16:32:54,-33.9258,18.4232,72.0,56,0,21.85
9,Albany,US,2021-03-21 16:33:01,42.6001,-73.9662,57.99,21,0,2.26
10,Treinta Y Tres,UY,2021-03-21 16:36:53,-33.2333,-54.3833,74.61,67,83,11.83
11,Narrabri,AU,2021-03-21 16:36:53,-30.3167,149.7833,68.0,94,90,5.75
12,Sobolevo,RU,2021-03-21 16:36:54,54.4299,31.8996,27.64,93,100,14.41
13,Kapaa,US,2021-03-21 16:36:54,22.0752,-159.319,69.8,73,20,20.71
14,Avarua,CK,2021-03-21 16:36:55,-21.2078,-159.775,78.8,83,75,2.3
15,Flinders,AU,2021-03-21 16:36:55,-34.5833,150.8552,66.99,98,100,7.0
16,Ushuaia,AR,2021-03-21 16:35:47,-54.8,-68.3,51.8,71,40,19.57
17,Egvekinot,RU,2021-03-21 16:35:13,66.3167,-179.1667,-6.75,97,100,7.31
18,Punta Arenas,CL,2021-03-21 16:32:26,-53.15,-70.9167,55.4,58,75,12.66
19,Bredasdorp,ZA,2021-03-21 16:36:56,-34.5322,20.0403,69.8,52,14,12.66
20,Cabo San Lucas,MX,2021-03-21 16:36:17,22.8909,-109.9124,81.0,27,1,5.75
21,Mogok,MM,2021-03-21 16:36:57,22.9167,96.5,69.94,31,80,2.1
22,Kodiak,US,2021-03-21 16:36:57,57.79,-152.4072,28.4,86,90,3.44
23,Tromso,NO,2021-03-21 16:33:04,69.6496,18.957,26.01,80,75,6.91
24,Ezhou,CN,2021-03-21 16:36:58,30.4,114.8333,49.91,49,29,6.69
